n,m,d,b,strategy,mean_gap,std_gap
10,100,1.0,1,na,1.1999999999999997,0.45825756949558394
15,100,1.0,1,na,1.7000000000000004,0.57227615711298
25,100,1.0,1,na,1.85,0.4358898943540674
25,100,1.0,20,na,1.95,0.5099019513592785
39,100,1.0,1,na,2.11,0.5
39,100,1.0,20,na,2.4099999999999997,0.6
63,100,1.0,1,na,2.7699999999999996,0.48989794855663554
63,100,1.0,20,na,2.6199999999999997,0.6224949798994367
63,100,1.0,40,na,2.7699999999999996,0.7348469228349536
63,100,1.0,60,na,2.7699999999999996,0.58309518948453
100,100,1.0,1,na,3.45,0.8645808232895292
100,100,1.0,20,na,3.35,0.5722761571129799
100,100,1.0,40,na,3.05,0.5894913061275798
100,100,1.0,60,na,3.1,0.6244997998398398
100,100,1.0,80,na,3.3,0.6403124237432849
100,100,1.0,100,na,3.0,0.6324555320336759
158,100,1.0,1,na,4.32,0.8306623862918073
158,100,1.0,20,na,3.5700000000000003,0.8529361054615991
158,100,1.0,40,na,4.12,1.2688577540449522
158,100,1.0,60,na,3.87,0.7399324293474372
158,100,1.0,80,na,4.0200000000000005,0.9695359714832659
158,100,1.0,100,na,3.8200000000000003,0.6633249580710799
251,100,1.0,1,na,4.639999999999999,0.9630680142129111
251,100,1.0,20,na,5.089999999999999,0.9695359714832659
251,100,1.0,40,na,4.589999999999999,0.8888194417315589
251,100,1.0,60,na,4.589999999999999,0.8888194417315589
251,100,1.0,80,na,4.839999999999999,0.7262919523166975
251,100,1.0,100,na,4.889999999999999,1.42828568570857
398,100,1.0,1,na,5.969999999999999,1.0712142642814277
398,100,1.0,20,na,6.169999999999999,1.4585952145814822
398,100,1.0,40,na,6.169999999999999,1.0618380290797649
398,100,1.0,60,na,5.669999999999999,1.3143439428094914
398,100,1.0,80,na,6.3199999999999985,1.1445523142259597
398,100,1.0,100,na,5.8199999999999985,1.4696938456699067
630,100,1.0,1,na,7.349999999999999,1.558043645088288
630,100,1.0,20,na,6.45,1.1346805717910216
630,100,1.0,40,na,7.4499999999999975,1.608570794214541
630,100,1.0,60,na,7.549999999999997,1.9817921182606413
630,100,1.0,80,na,6.999999999999998,0.9539392014169457
630,100,1.0,100,na,7.549999999999999,1.152171862180291
676,100,1.0,1,na,7.24,1.5811388300841898
676,100,1.0,20,na,7.040000000000001,1.4352700094407325
676,100,1.0,40,na,7.24,0.7745966692414834
676,100,1.0,60,na,7.19,1.4654350889752845
676,100,1.0,80,na,7.640000000000002,1.7146428199482249
676,100,1.0,100,na,7.690000000000002,1.2835497652993435
1000,100,1.0,1,na,8.45,1.5644487847162016
1000,100,1.0,20,na,8.5,1.6583123951777
1000,100,1.0,40,na,8.65,1.8781639970992947
1000,100,1.0,60,na,8.5,1.3601470508735443
1000,100,1.0,80,na,8.7,1.76351920885484
1000,100,1.0,100,na,9.25,1.1346805717910218
1342,100,1.0,1,na,9.730000000000002,2.080264406271472
1342,100,1.0,20,na,10.580000000000002,1.7606816861659011
1342,100,1.0,40,na,10.780000000000003,1.4696938456699067
1342,100,1.0,60,na,9.580000000000002,1.8973665961010275
1342,100,1.0,80,na,9.880000000000003,1.9519221295943134
1342,100,1.0,100,na,10.230000000000002,2.2422087324778666
1342,100,1.0,1080,na,9.780000000000003,1.5362291495737215
1584,100,1.0,1,na,10.86,2.4515301344262523
1584,100,1.0,20,na,11.36,2.0639767440550294
1584,100,1.0,40,na,11.76,1.9595917942265422
1584,100,1.0,60,na,11.309999999999999,1.9817921182606413
1584,100,1.0,80,na,10.26,1.6093476939431082
1584,100,1.0,100,na,10.41,1.7853571071357126
1584,100,1.0,1080,na,11.11,1.8296174463531985
2008,100,1.0,1,na,12.420000000000005,2.7838821814150108
2008,100,1.0,20,na,11.870000000000005,2.2017038856303994
2008,100,1.0,40,na,12.020000000000005,2.046948949045872
2008,100,1.0,60,na,11.870000000000005,1.9868316486305526
2008,100,1.0,80,na,12.220000000000004,1.8466185312619388
2008,100,1.0,100,na,12.120000000000005,2.293468988235943
2008,100,1.0,1080,na,11.820000000000004,2.364318083507378
2511,100,1.0,1,na,13.239999999999998,1.9306734576307822
2511,100,1.0,20,na,14.239999999999998,3.118894034750139
2511,100,1.0,40,na,13.139999999999997,2.826216552212516
2511,100,1.0,60,na,14.039999999999997,1.3883443376914821
