n,m,d,b,strategy,mean_gap,std_gap
10,100,2,1,cmp,1.0499999999999996,0.3570714214271425
15,100,2,1,cmp,0.9000000000000001,0.21794494717703372
25,100,2,1,cmp,1.15,0.48989794855663565
39,100,2,1,cmp,1.4099999999999997,0.39999999999999997
63,100,2,1,cmp,1.3700000000000003,2.220446049250313e-16
100,100,2,1,cmp,1.65,0.47696960070847294
100,100,2,100,cmp,3.3,0.5567764362830021
158,100,2,1,cmp,1.5200000000000002,0.3
158,100,2,100,cmp,2.8200000000000003,0.4898979485566356
251,100,2,1,cmp,1.6400000000000006,0.3570714214271425
251,100,2,100,cmp,3.0900000000000007,0.66332495807108
398,100,2,1,cmp,1.7200000000000002,0.5567764362830021
398,100,2,100,cmp,3.1199999999999997,0.7
630,100,2,1,cmp,1.7000000000000004,2.220446049250313e-16
630,100,2,100,cmp,3.1000000000000005,0.7999999999999999
676,100,2,1,cmp,1.9400000000000006,0.5567764362830021
676,100,2,100,cmp,3.0900000000000007,1.0136567466356645
1000,100,2,1,cmp,2.0,0.31622776601683794
1000,100,2,100,cmp,3.05,1.023474474522936
1342,100,2,1,cmp,1.9799999999999998,0.48989794855663565
1342,100,2,100,cmp,2.9299999999999997,0.5722761571129799
1584,100,2,1,cmp,1.86,0.45825756949558394
1584,100,2,100,cmp,3.2099999999999995,0.6689544080129826
2008,100,2,1,cmp,1.9200000000000017,0.0
2008,100,2,100,cmp,3.1700000000000017,0.5361902647381804
2511,100,2,1,cmp,1.8400000000000005,0.21794494717703372
2511,100,2,100,cmp,3.2900000000000005,0.5830951894845301
2511,100,2,2080,cmp,8.139999999999997,1.8131464364468746
2674,100,2,1,cmp,1.8600000000000023,0.48989794855663565
2674,100,2,100,cmp,3.0100000000000025,0.7664854858377946
2674,100,2,2080,cmp,7.76,2.1095023109728985
3340,100,2,1,cmp,1.7500000000000013,0.3570714214271425
3340,100,2,100,cmp,3.0500000000000016,0.4974937185533101
3340,100,2,2080,cmp,14.450000000000003,2.833284313301438
3981,100,2,1,cmp,2.039999999999998,0.3570714214271425
3981,100,2,100,cmp,2.9899999999999975,0.5099019513592784
3981,100,2,2080,cmp,21.939999999999998,3.404041715373065
4006,100,2,1,cmp,1.8399999999999976,0.3
4006,100,2,100,cmp,3.4399999999999977,0.7416198487095663
4006,100,2,2080,cmp,20.639999999999997,3.0512292604784714
4672,100,2,1,cmp,1.6300000000000012,0.47696960070847294
4672,100,2,100,cmp,2.780000000000001,0.6708203932499369
4672,100,2,2080,cmp,17.779999999999994,1.91049731745428
4672,100,2,4060,cmp,12.13,3.811495769379785
5338,100,2,1,cmp,1.7199999999999975,0.3
5338,100,2,100,cmp,2.7699999999999974,0.5722761571129799
5338,100,2,2080,cmp,11.12,2.7110883423451915
5338,100,2,4060,cmp,12.219999999999999,1.6852299546352716
6004,100,2,1,cmp,1.9100000000000008,0.21794494717703372
6004,100,2,100,cmp,2.910000000000001,0.864580823289529
6004,100,2,2080,cmp,15.459999999999997,2.539685019840059
6004,100,2,4060,cmp,19.459999999999997,3.721558813185679
6309,100,2,1,cmp,1.8099999999999965,0.3
6309,100,2,100,cmp,2.8599999999999968,0.7399324293474371
6309,100,2,2080,cmp,18.30999999999999,3.7067505985701277
6309,100,2,4060,cmp,22.859999999999992,3.2322592717787972
6309,100,2,6040,cmp,17.15999999999999,3.5053530492662217
6670,100,2,1,cmp,1.699999999999997,0.48989794855663565
6670,100,2,100,cmp,2.9999999999999973,0.7810249675906654
6670,100,2,2080,cmp,14.0,3.116087290176577
6670,100,2,4060,cmp,25.65,4.065402809070708
6670,100,2,6040,cmp,14.65,3.118894034750139
7336,100,2,1,cmp,1.7900000000000005,0.3570714214271425
7336,100,2,100,cmp,3.2400000000000007,0.9165151389911681
7336,100,2,2080,cmp,11.389999999999997,2.2107690969434146
7336,100,2,4060,cmp,32.64,3.924283374069717
7336,100,2,6040,cmp,11.439999999999998,2.1587033144922905
8002,100,2,1,cmp,1.930000000000004,0.21794494717703372
8002,100,2,100,cmp,3.280000000000004,0.9539392014169457
8002,100,2,2080,cmp,20.080000000000005,4.182104733265297
8002,100,2,4060,cmp,40.68000000000001,5.225897052181567
8002,100,2,6040,cmp,17.880000000000006,3.064310689208912
8668,100,2,1,cmp,1.8199999999999932,0.5
8668,100,2,100,cmp,2.969999999999993,0.5722761571129799
8668,100,2,2080,cmp,19.319999999999993,3.646916505762094
8668,100,2,4060,cmp,36.16999999999998,4.138538389335055
8668,100,2,6040,cmp,25.71999999999999,2.5573423705088847
8668,100,2,8020,cmp,18.019999999999992,4.473253849269008
9334,100,2,1,cmp,1.8099999999999965,0.3570714214271425
9334,100,2,100,cmp,2.8599999999999968,0.6
9334,100,2,2080,cmp,13.009999999999996,2.706935536727833
9334,100,2,4060,cmp,27.65999999999999,5.039841267341661
9334,100,2,6040,cmp,31.20999999999999,3.089902911096075
9334,100,2,8020,cmp,11.909999999999997,3.031088913245535
10000,100,2,1,cmp,1.9,0.3
10000,100,2,100,cmp,3.45,0.9205976319760985
10000,100,2,2080,cmp,15.15,3.525265947414464
10000,100,2,4060,cmp,24.3,5.959026766175833
10000,100,2,6040,cmp,37.1,4.471017781221632
10000,100,2,8020,cmp,17.55,2.9744747435471695
10000,100,2,10000,cmp,26.15,4.186585721085859
